,Cosine Similarity,Cosine Similarity,Cosine Similarity,Collaborative Filtering,Collaborative Filtering,Collaborative Filtering
,SimilarCustomer1,SimilarCustomer2,SimilarCustomer3,SimilarCustomer1,SimilarCustomer2,SimilarCustomer3
CustomerID,,,,,,
C0001,"('C0069', 0.8363203472154049)","('C0026', 0.8233826016252753)","('C0127', 0.7380421876633938)","('C0097', 0.5477225575051661)","('C0194', 0.4696682183138621)","('C0199', 0.4381780460041329)"
C0002,"('C0159', 0.8809297504843957)","('C0062', 0.8798141002033394)","('C0133', 0.8577063793403182)","('C0030', 0.37282185960072)","('C0091', 0.3339135484518728)","('C0071', 0.329914439536929)"
C0003,"('C0166', 0.8157412678250712)","('C0195', 0.7431041137334202)","('C0031', 0.7262539455203976)","('C0134', 0.5199469468957452)","('C0181', 0.5175973113765044)","('C0144', 0.3999999999999999)"
C0004,"('C0065', 0.9445684642913135)","('C0012', 0.9108381077132794)","('C0075', 0.8973201423481126)","('C0070', 0.4988876515698588)","('C0132', 0.4381780460041328)","('C0063', 0.3360672201667223)"
C0005,"('C0197', 0.9589496996313328)","('C0095', 0.9402898350962073)","('C0007', 0.9160443981033776)","('C0096', 0.6482037235521645)","('C0055', 0.5144957554275265)","('C0064', 0.3328770246548891)"
C0006,"('C0196', 0.9073987955256472)","('C0185', 0.9010986449174229)","('C0079', 0.7992152736471191)","('C0058', 0.6488856845230502)","('C0040', 0.629511580291707)","('C0178', 0.37463432463267754)"
C0007,"('C0005', 0.9160443981033776)","('C0140', 0.903480468706908)","('C0110', 0.8560006459701415)","('C0020', 0.5883484054145521)","('C0079', 0.49613893835683387)","('C0026', 0.36313651960128146)"
C0008,"('C0093', 0.9211214263495978)","('C0175', 0.8196075529803727)","('C0109', 0.8190843552869803)","('C0144', 0.3922322702763681)","('C0088', 0.3396831102433788)","('C0003', 0.31378581622109447)"
C0009,"('C0033', 0.9686691276198753)","('C0083', 0.9675364831160911)","('C0198', 0.9613265449617328)","('C0140', 0.560112033611204)","('C0162', 0.5132649025747366)","('C0062', 0.4950737714883371)"
C0010,"('C0077', 0.8756500433208878)","('C0030', 0.8553585230517877)","('C0056', 0.8437557825828065)","('C0033', 0.48666426339228763)","('C0077', 0.42479539524287324)","('C0094', 0.40590605489504306)"
C0011,"('C0016', 0.8537096242307478)","('C0027', 0.8075309812504569)","('C0107', 0.7790313852294711)","('C0135', 0.4841820261350419)","('C0120', 0.35682062007003146)","('C0173', 0.33075929223788925)"
C0012,"('C0065', 0.9548401699457965)","('C0004', 0.9108381077132794)","('C0113', 0.8554245663645211)","('C0164', 0.45291081365783836)","('C0052', 0.4086031347641993)","('C0173', 0.3577708763999663)"
C0013,"('C0099', 0.9262581696808904)","('C0156', 0.902871115398386)","('C0141', 0.8798701862892409)","('C0058', 0.5345224838248488)","('C0040', 0.5185629788417315)","('C0169', 0.4409585518440985)"
C0014,"('C0128', 0.9902869470464074)","('C0097', 0.9856469301829636)","('C0151', 0.9833774402811852)","('C0128', 0.8944271909999159)","('C0159', 0.7844645405527362)","('C0136', 0.46188021535170054)"
C0015,"('C0123', 0.9804604457140844)","('C0095', 0.9564576149386843)","('C0014', 0.9439958845069968)","('C0073', 0.6324555320336758)","('C0036', 0.6067798762169179)","('C0059', 0.4568321925761285)"
C0016,"('C0107', 0.8905180711846299)","('C0011', 0.8537096242307478)","('C0074', 0.7088404382193836)","('C0187', 0.6449020216370241)","('C0064', 0.4611123341633879)","('C0145', 0.3954372976473721)"
C0017,"('C0075', 0.9397940050740483)","('C0122', 0.8668633434358816)","('C0021', 0.8451972892363789)","('C0037', 0.39886201760873274)","('C0071', 0.3849001794597504)","('C0183', 0.34570865256115424)"
C0018,"('C0064', 0.8526553273596352)","('C0087', 0.8401394615913937)","('C0068', 0.8052207942776785)","('C0177', 0.39389277113386467)","('C0064', 0.356654251494682)","('C0081', 0.3503245248726854)"
C0019,"('C0191', 0.8324349956817032)","('C0174', 0.7363190469983062)","('C0047', 0.7069040423019207)","('C0083', 0.4898979485566357)","('C0064', 0.4879954250643349)","('C0039', 0.46475800154489)"
C0020,"('C0140', 0.9523873035976601)","('C0078', 0.946394225046949)","('C0130', 0.9263773917875489)","('C0026', 0.6172133998483676)","('C0007', 0.5883484054145521)","('C0104', 0.4886777774252209)"
